Date,Source,Severity,Message
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:51,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:47,Logon,Unknown,Login succeeded for user 'ArcUser'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.14]
06/05/2019 16:09:47,Logon,Unknown,Login succeeded for user 'ArcUser'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.14]
06/05/2019 16:09:47,Logon,Unknown,Login succeeded for user 'ArcUser'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.14]
06/05/2019 16:09:47,Logon,Unknown,Login succeeded for user 'ArcUser'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.14]
06/05/2019 16:09:31,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:31,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:31,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:31,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:30,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:29,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:29,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
06/05/2019 16:09:29,Logon,Unknown,Login succeeded for user 'admin'. Connection made using SQL Server authentication. [CLIENT: 10.98.4.15]
